file_name,module,column_name,data_type,required,purpose
01_platform_clients.csv,Platform Admin,tenant_id,text,yes,System/linking identifier used for database alignment.
01_platform_clients.csv,Platform Admin,client_id,text,yes,System/linking identifier used for database alignment.
01_platform_clients.csv,Platform Admin,client_code,text,yes,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,client_name,text,yes,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,legal_name,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,industry,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,region,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,market,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,currency,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,status,text,no,Workflow/status field used for filters and dashboards.
01_platform_clients.csv,Platform Admin,tax_registration_id,text,no,System/linking identifier used for database alignment.
01_platform_clients.csv,Platform Admin,primary_admin_email,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,support_tier,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,subscription_plan,text,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,subscription_start_date,date,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,subscription_end_date,date,no,Business data field for module import and mapping.
01_platform_clients.csv,Platform Admin,created_reason,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,tenant_id,text,yes,System/linking identifier used for database alignment.
02_platform_plants.csv,Platform Admin,client_id,text,yes,System/linking identifier used for database alignment.
02_platform_plants.csv,Platform Admin,client_code,text,yes,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,plant_id,text,yes,System/linking identifier used for database alignment.
02_platform_plants.csv,Platform Admin,plant_code,text,yes,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,plant_name,text,yes,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,plant_type,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,region,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,market,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,timezone,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,address_line_1,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,city,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,state,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,postal_code,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,status,text,no,Workflow/status field used for filters and dashboards.
02_platform_plants.csv,Platform Admin,plant_manager_email,text,no,Business data field for module import and mapping.
02_platform_plants.csv,Platform Admin,created_reason,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,tenant_id,text,yes,System/linking identifier used for database alignment.
03_platform_users.csv,Platform Admin,client_id,text,yes,System/linking identifier used for database alignment.
03_platform_users.csv,Platform Admin,client_code,text,yes,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,plant_id,text,yes,System/linking identifier used for database alignment.
03_platform_users.csv,Platform Admin,user_id,text,no,System/linking identifier used for database alignment.
03_platform_users.csv,Platform Admin,first_name,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,last_name,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,display_name,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,email,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,login_name,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,role_keys,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,assigned_application_keys,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,assigned_module_keys,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,department,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,manager_email,text,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,scope_plant_id,text,no,System/linking identifier used for database alignment.
03_platform_users.csv,Platform Admin,scope_warehouse_id,text,no,System/linking identifier used for database alignment.
03_platform_users.csv,Platform Admin,status,text,no,Workflow/status field used for filters and dashboards.
03_platform_users.csv,Platform Admin,force_password_change,boolean,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,password_expires_every_days,number,no,Business data field for module import and mapping.
03_platform_users.csv,Platform Admin,created_reason,text,no,Business data field for module import and mapping.
04_module_entitlements.csv,Platform Admin,tenant_id,text,yes,System/linking identifier used for database alignment.
04_module_entitlements.csv,Platform Admin,client_id,text,yes,System/linking identifier used for database alignment.
